order_id,customer_id,product_id,order_timestamp,quantity,unit_price,discount_pct,status,updated_at,pipeline_run_id,staged_at_utc,cust_match,prod_match,reason
O0000204,C00912,P0078,2025-06-01 19:42:00+00:00,7,669.78,0.15,DELIVERED,2025-06-02 18:42:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0046582,C01442,P0078,2025-06-03 23:13:00+00:00,8,814.66,0.15,DELIVERED,2025-06-06 17:13:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0030091,C01518,P0078,2025-06-07 09:21:00+00:00,5,650.01,0.1,CANCELLED,2025-06-09 13:21:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0008613,C01207,P0078,2025-06-27 19:42:00+00:00,8,213.28,0.0,CANCELLED,2025-06-28 10:42:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0005571,C01841,P0078,2025-06-27 02:54:00+00:00,8,382.36,0.1,CANCELLED,2025-06-28 17:54:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0014035,C00659,P0078,2025-07-05 18:35:00+00:00,2,653.55,0.15,PENDING,2025-07-07 03:35:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0028332,C01393,P0078,2025-07-13 02:18:00+00:00,7,258.01,0.0,CANCELLED,2025-07-15 21:18:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0004758,C00503,P0078,2025-07-21 06:24:00+00:00,2,685.65,0.0,CANCELLED,2025-07-22 14:24:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0028129,C01636,P0078,2025-07-26 12:05:00+00:00,5,530.35,0.05,DELIVERED,2025-07-27 18:05:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0009114,C00069,P0078,2025-08-09 21:21:00+00:00,5,349.84,0.0,DELIVERED,2025-08-10 18:21:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0004796,C01875,P0078,2025-08-22 17:46:00+00:00,5,464.87,0.0,DELIVERED,2025-08-23 01:46:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0025882,C02061,P0078,2025-08-30 16:11:00+00:00,8,791.6,0.0,DELIVERED,2025-09-01 07:11:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0049825,C02539,P0078,2025-09-19 09:59:00+00:00,3,637.52,0.0,DELIVERED,2025-09-22 05:59:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0035004,C01978,P0078,2025-09-21 12:55:00+00:00,1,761.83,0.15,SHIPPED,2025-09-23 09:55:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0047611,C00734,P0078,2025-09-23 18:15:00+00:00,7,393.72,0.05,SHIPPED,2025-09-25 23:15:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0013057,C00929,P0078,2025-09-24 14:52:00+00:00,8,834.18,0.0,DELIVERED,2025-09-26 18:52:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0041524,C02885,P0078,2025-10-12 16:41:00+00:00,8,281.64,0.05,PENDING,2025-10-14 05:41:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0043918,C02641,P0078,2025-10-13 20:59:00+00:00,2,695.55,0.0,PENDING,2025-10-15 19:59:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0004609,C00407,P0078,2025-10-13 14:01:00+00:00,6,247.87,0.0,CANCELLED,2025-10-16 08:01:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0008636,C02402,P0078,2025-10-21 18:44:00+00:00,5,952.6,0.0,DELIVERED,2025-10-23 03:44:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0018747,C02077,P0078,2025-10-26 16:33:00+00:00,3,818.88,0.0,DELIVERED,2025-10-27 19:33:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0012575,C02624,P0078,2025-10-30 06:40:00+00:00,2,680.63,0.0,CANCELLED,2025-11-01 03:40:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0029645,C00638,P0078,2025-11-04 17:29:00+00:00,5,510.97,0.15,DELIVERED,2025-11-07 06:29:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0007090,C00395,P0078,2025-11-07 22:51:00+00:00,8,294.14,0.15,DELIVERED,2025-11-10 06:51:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0046857,C01458,P0078,2025-11-25 13:25:00+00:00,6,664.2,0.0,SHIPPED,2025-11-28 07:25:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0021420,C01826,P0078,2025-12-05 13:19:00+00:00,7,755.23,0.15,PENDING,2025-12-07 23:19:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0016361,C00104,P0078,2025-12-15 04:40:00+00:00,6,541.7,0.1,DELIVERED,2025-12-16 00:40:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0003334,C02952,P9999,2025-12-15 13:19:00+00:00,7,10488.44,0.15,PENDING,2025-12-16 17:19:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0012009,C02255,P0078,2025-12-16 19:22:00+00:00,3,980.18,0.0,DELIVERED,2025-12-17 21:22:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0004901,C02858,P0078,2026-01-12 00:38:00+00:00,6,582.85,0.0,PENDING,2026-01-12 22:38:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0044558,C00510,P0078,2026-01-11 19:10:00+00:00,7,973.89,0.0,CANCELLED,2026-01-14 09:10:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0033662,C01375,P0078,2026-01-27 20:41:00+00:00,2,555.85,0.05,PENDING,2026-01-28 16:41:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0017849,C01991,P0078,2026-01-27 22:36:00+00:00,8,882.22,0.0,CANCELLED,2026-01-29 08:36:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0030746,C01564,P0078,2026-01-29 02:50:00+00:00,7,448.06,0.0,DELIVERED,2026-01-29 16:50:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0013576,C01391,P0078,2026-02-04 00:39:00+00:00,2,951.71,0.05,DELIVERED,2026-02-06 07:39:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0037906,C02434,P0078,2026-02-05 01:55:00+00:00,6,689.34,0.0,DELIVERED,2026-02-06 15:55:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0026118,C02680,P0078,2026-02-07 19:42:00+00:00,6,734.12,0.0,DELIVERED,2026-02-08 14:42:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0005298,C02200,P0078,2026-02-15 04:24:00+00:00,4,842.99,0.15,SHIPPED,2026-02-16 15:24:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0048345,C00830,P0078,2026-03-10 21:50:00+00:00,1,882.84,0.1,CANCELLED,2026-03-13 15:50:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0023166,C02997,P0078,2026-03-16 13:33:00+00:00,4,754.89,0.05,PENDING,2026-03-19 12:33:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0002223,C99999,P0525,2026-03-30 23:12:00+00:00,2,36457.69,0.05,CANCELLED,2026-03-31 17:12:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,left_only,both,orphan_customer_or_product_reference
O0019352,C00139,P0078,2026-05-15 10:20:00+00:00,3,250.79,0.0,SHIPPED,2026-05-15 17:20:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0008531,C00778,P0078,2026-05-29 12:45:00+00:00,7,399.81,0.1,DELIVERED,2026-05-31 17:45:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0027449,C01858,P0078,2026-06-22 09:47:00+00:00,2,905.05,0.0,PENDING,2026-06-23 18:47:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0006307,C02013,P0078,2026-07-07 22:54:00+00:00,4,587.15,0.0,PENDING,2026-07-09 19:54:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0012548,C00835,P0078,2026-07-13 02:38:00+00:00,5,876.43,0.0,CANCELLED,2026-07-15 15:38:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0047059,C02839,P0078,2026-07-29 19:27:00+00:00,5,264.24,0.0,CANCELLED,2026-08-01 14:27:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0010049,C02254,P0078,2026-08-06 02:25:00+00:00,3,356.26,0.15,PENDING,2026-08-06 04:25:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0023434,C01923,P0078,2026-08-05 20:54:00+00:00,1,753.84,0.0,SHIPPED,2026-08-08 19:54:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
